,Topic Content,Domains Where Topic Most Popular
0,"budget, finance, fund, year, operating, city, fiscal, funds, calendar, communities","['data.macoupincountyil.gov', 'data.tompsc.com', 'data.topeka.org', 'information.stpaul.gov', 'performance.danvilleva.gov', 'performance.franklintn.gov']"
1,"business, license, job, contracts, businesses, vendor, owned, contract, licenses, certified","['data.cityofgainesville.org', 'data.culvercity.org', 'data.oxnard.org', 'opendata.cityofhenderson.com']"
2,"care, finance, provider, child, cost, plan, day, bay, government, fee",['data.datamontana.us']
3,"census, indicators, survey, includes, indicator, community, demographics, bureau, u, level","['data.livewellsd.org', 'opendata.cityofmesquite.com']"
4,"development, housing, economic, community, infrastructure, managed, medicaid, department, buildings, economy","['dashboard.alexandriava.gov', 'data.countyofriverside.us', 'data.hampton.gov', 'data.maine.gov', 'stat.cityofgainesville.org']"
5,"economy, employment, labor, unemployment, insurance, credit, workforce, economic, training, federal",['data.iowa.gov']
6,"education, school, schools, students, public, governance, state, year, student, district","['dashboard.hawaii.gov', 'data.mass.gov', 'data.vermont.gov']"
7,"energy, environment, electricity, air, sustainable, action, climate, city, clean, facilities","['data.results.wa.gov', 'data.sustainablesm.org', 'performance.providenceri.gov']"
8,"finance, year, state, monthly, fiscal, payments, government, june, july, report","['data.maryland.gov', 'data.nj.gov', 'impact.stlouisco.com', 'opencheckbook.data.somervillema.gov', 'opendata.lasvegasnevada.gov', 'performance.cookcountyil.gov', 'transparency.michigan.gov']"
9,"financial, permits, building, permit, expenditures, guide, issued, construction, information, filter","['data.burlingtonvt.gov', 'data.cityofboston.gov', 'data.cityofevanston.org', 'data.cstx.gov', 'data.fortworthtexas.gov', 'data.lacity.org', 'data.montgomeryal.gov', 'data.nashville.gov', 'data.tuscaloosa.com']"
10,"gas, natural, food, greenhouse, environment, emissions, costs, resources, program, fuel","['dashboard.slco.org', 'opendata.utah.gov']"
11,"health, code, statistics, county, codes, zip, public, diego, harbison, crest",['data.mo.gov']
12,"health, disease, 000, per, rate, rates, chronic, risk, agency, due",['healthdata.nj.gov']
13,"health, san, county, care, counties, system, facilities, network, home, francisco","['data.smcgov.org', 'health.data.ny.gov']"
14,"information, tab, projects, concerning, may, contains, project, provided, additional, improvement","['data.austintexas.gov', 'data.lcb.wa.gov', 'data.pa.gov']"
15,"infrastructure, city, public, maps, works, dallas, los, angeles, types, way","['data.albanyny.gov', 'data.jacksonms.gov', 'data.wa.gov', 'opencity.fcgov.com']"
16,"map, ""about"", shows, details, tracking, click, view, additional, weekly, information","['data.sonomacounty.ca.gov', 'data.vta.org']"
17,"mateo, city, gis, land, county, parcel, map, point, survey, feature","['data.cityofwestsacramento.org', 'data.detroitmi.gov']"
18,"measures, quality, performance, government, life, developed, fair, measurement, definitions, index","['performance.smcgov.org', 'performance.topeka.org']"
19,"open, created, items, clear, volume, please, presented, difficult, potential, note",['data.baltimorecity.gov']
20,"plan, strategic, master, community, fewer, limitations, registry, cause, years, information","['data.cincinnati-oh.gov', 'data.monroecounty-fl.gov']"
21,"planning, county, district, districts, boundaries, city, areas, zoning, gis, council","['data.acgov.org', 'data.kcmo.org']"
22,"police, user, information, page, department, use, orleans, injury, may, records","['data.cityofchicago.org', 'data.hartford.gov', 'data.menlopark.org', 'data.nola.gov', 'data.urbanaillinois.us']"
23,"politics, government, election, campaign, elections, commission, results, city, 460, finance","['dashboard.plano.gov', 'data.ct.gov', 'data.hawaii.gov', 'data.kingcounty.gov', 'data.ny.gov', 'data.redmond.gov', 'datapoints.dallascityhall.com', 'electionsdata.kingcounty.gov', 'performance.adcogov.org', 'performance.glendaleca.gov', 'performance.seattle.gov', 'performance.vbgov.com', 'policeview.johnscreekga.gov']"
24,"population, county, demographics, age, total, king, washington, montgomery, number, years","['data.cityofnewyork.us', 'data.illinois.gov', 'performance.carson.org', 'performance.princegeorgescountymd.gov']"
25,"program, employees, adult, employee, annual, names, full, abuse, nutrition, beginning","['data.lacounty.gov', 'datacatalog.cookcountyil.gov']"
26,"property, consumption, real, value, properties, significant, easy, usage, assessment, company","['data.douglas.co.us', 'data.qac.org', 'data.richmondgov.com']"
27,"public, safety, crime, police, department, illinois, race, reported, crimes, criminal","['data.auburnwa.gov', 'data.greensboro-nc.gov', 'data.honolulu.gov', 'data.littlerock.gov', 'data.naperville.il.us', 'data.oaklandnet.com', 'data.providenceri.gov', 'data.readingpa.gov', 'data.roseville.ca.us', 'data.somervillema.gov', 'data.vbgov.com', 'opendata.miamidade.gov', 'performance.ci.janesville.wi.us', 'performance.cityofdavenportiowa.com', 'performance.fultoncountyga.gov', 'tni.princegeorgescountymd.gov']"
28,"public, safety, fire, month, calls, police, emergency, response, discharge, incident","['data.brla.gov', 'data.cityofmadison.com', 'data.marincounty.org', 'data.raleighnc.gov', 'data.seattle.gov', 'kcstat.kcmo.org', 'opendata.ci.richmond.ca.us', 'opendata.howardcountymd.gov', 'performance.cityofrc.us', 'stats.cityofcarrollton.com', 'www.dallasopendata.com']"
29,"rates, calculated, rate, year, counts, average, seattle, percent, mortality, number",['outcomestat.baltimorecity.gov']
30,"recreation, parks, jersey, park, center, neighborhoods, centers, facilities, environment, access","['data.srcity.org', 'performance.williamsburgva.gov']"
31,"report, performance, city, goal, resultsnola, administration, city's, management, key, topeka",['performance.austintexas.gov']
32,"service, requests, inspection, inspections, 311, public, violations, request, complaints, days","['data.delaware.gov', 'data.muni.org', 'data.princegeorgescountymd.gov']"
33,"state, new, michigan, york, information, check, measurements, jobs, licensing, ny","['data.michigan.gov', 'data.oregon.gov', 'midashboard.michigan.gov']"
34,"transportation, plans, iowa, area, transit, operations, region, bus, priority, people","['data.cityofgp.com', 'data.texas.gov']"
35,"transportation, traffic, street, parking, infrastructure, city, safe, vehicle, streets, bike","['data.cambridgema.gov', 'data.cityoftacoma.org', 'data.montgomerycountymd.gov', 'data.rutlandcitypolice.com', 'data.sfgov.org', 'data.weho.org', 'insights.cincinnati-oh.gov', 'performance.chattanooga.gov', 'reports.data.montgomerycountymd.gov']"
36,"water, environment, protection, tx, filed, waste, site, quality, environmental, monitoring",['data.colorado.gov']
